"GeIL  DDR4 16G PC4-17000 CL15 SUPER LUCE WHITE 화이트,GeIL,DDR4,PC용,1ea,포함,16GB,2133MHz,1.20V,152190,http://timg.danawa.com/prod_img/500000/831/982/img/3982831_1.jpg"
"삼성전자  DDR4 16G PC4-17000(정품),삼성전자,DDR4,PC용,1ea,미포함,16GB,2133MHz,,153940,http://timg.danawa.com/prod_img/500000/535/493/img/3493535_1.jpg"
"G.SKILL  DDR4 16G PC4-32000 CL19 TRIDENT ZKW (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,4000MHz,1.35V,366630,http://timg.danawa.com/prod_img/500000/523/591/img/4591523_1.jpg"
"GeIL  DDR4 4G PC4-17000 CL15 SUPER LUCE WHITE 화이트,GeIL,DDR4,PC용,1ea,포함,4GB,2133MHz,1.20V,49740,http://timg.danawa.com/prod_img/500000/505/982/img/3982505_1.jpg"
"G.SKILL  DDR4 16G PC4-28800 CL16 TRIDENT Z RGB (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,3600MHz,1.35V,364000,http://timg.danawa.com/prod_img/500000/150/905/img/4905150_1.jpg"
"GeIL  DDR4 16G PC4-17000 CL15 SUPER LUCE BLACK 블루,GeIL,DDR4,PC용,1ea,포함,16GB,2133MHz,1.20V,152190,http://timg.danawa.com/prod_img/500000/047/980/img/3980047_1.jpg"
"G.SKILL  DDR4 32G PC4-24000 CL15 TRIDENT Z (16Gx2),G.SKILL,DDR4,PC용,2ea,포함,32GB,3000MHz,1.35V,415360,http://timg.danawa.com/prod_img/500000/806/500/img/3500806_1.jpg"
"G.SKILL  DDR4 8G PC4-21300 CL15 RIPJAWS V VB,G.SKILL,DDR4,PC용,1ea,포함,8GB,2666MHz,1.20V,92260,http://timg.danawa.com/prod_img/500000/636/564/img/4564636_1.jpg"
"G.SKILL  DDR4 32G PC4-27700 CL16 TRIDENT Z RGB (16Gx2),G.SKILL,DDR4,PC용,2ea,포함,32GB,3466MHz,1.35V,606730,http://timg.danawa.com/prod_img/500000/175/131/img/5131175_1.jpg"
"GeIL  DDR4 8G PC4-19200 CL15 SUPER LUCE WHITE 블루 (4Gx2),GeIL,DDR4,PC용,2ea,포함,8GB,2400MHz,1.20V,102550,http://timg.danawa.com/prod_img/500000/143/784/img/3784143_1.jpg"
"ESSENCORE KLEVV DDR3 8G PC3-17000 CL10 NEO (4Gx2),ESSENCORE,DDR3,PC용,2ea,포함,8GB,2133MHz,1.60V,74940,http://timg.danawa.com/prod_img/500000/532/151/img/4151532_1.jpg"
"G.SKILL  DDR4 8G PC4-17000 CL15 NT,G.SKILL,DDR4,PC용,1ea,미포함,8GB,2133MHz,1.20V,71870,http://timg.danawa.com/prod_img/500000/108/853/img/4853108_1.jpg"
"GeIL  DDR4 4G PC4-17000 CL15 SUPER LUCE WHITE 블루,GeIL,DDR4,PC용,1ea,포함,4GB,2133MHz,1.20V,51200,http://timg.danawa.com/prod_img/500000/451/982/img/3982451_1.jpg"
"G.SKILL  DDR4 16G PC4-30900 CL18 TRIDENT Z RGB (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,3866MHz,1.35V,419480,http://timg.danawa.com/prod_img/500000/198/905/img/4905198_1.jpg"
"G.SKILL  DDR4 16G PC4-19200 CL16 FLARE X DUAL (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,2400MHz,1.20V,182210,http://timg.danawa.com/prod_img/500000/033/063/img/5063033_1.jpg"
"G.SKILL  DDR4 4G PC4-19200 CL15 AEGIS,G.SKILL,DDR4,PC용,1ea,미포함,4GB,2400MHz,1.20V,43170,http://timg.danawa.com/prod_img/500000/919/875/img/3875919_1.jpg"
"G.SKILL  DDR4 16G PC4-25600 CL16 RIPJAWS V VK,G.SKILL,DDR4,PC용,1ea,포함,16GB,3200MHz,1.35V,200450,http://timg.danawa.com/prod_img/500000/593/571/img/4571593_1.jpg"
"GeIL  DDR4 32G PC4-24000 CL15 EVO-X 화이트 RGB (16Gx2),GeIL,DDR4,PC용,2ea,포함,32GB,3000MHz,1.35V,383040,http://timg.danawa.com/prod_img/500000/152/989/img/4989152_1.jpg"
"GeIL  DDR4 8G PC4-19200 CL15 SUPER LUCE WHITE 레드 (4Gx2),GeIL,DDR4,PC용,2ea,포함,8GB,2400MHz,1.20V,97290,http://timg.danawa.com/prod_img/500000/614/784/img/3784614_1.jpg"
"TeamGroup T-Force DDR4 16G PC4-21300 CL15 DARK Red (8Gx2),TeamGroup,DDR4,PC용,2ea,포함,16GB,2666MHz,1.20V,162160,http://timg.danawa.com/prod_img/500000/339/596/img/4596339_1.jpg"
"CORSAIR  DDR4 16G PC4-21300 CL16 VENGEANCE LED 화이트 (8Gx2),CORSAIR,DDR4,PC용,2ea,포함,16GB,2666MHz,1.20V,210360,http://timg.danawa.com/prod_img/500000/355/470/img/4470355_1.jpg"
"GeIL  DDR4 16G PC4-17000 CL15 SUPER LUCE BLACK 화이트,GeIL,DDR4,PC용,1ea,포함,16GB,2133MHz,1.20V,152530,http://timg.danawa.com/prod_img/500000/235/980/img/3980235_1.jpg"
"TeamGroup  노트북 DDR4 16G PC4-17000,TeamGroup,DDR4,노트북용,1ea,미포함,16GB,2133MHz,1.20V,136960,http://timg.danawa.com/prod_img/500000/642/082/img/4082642_1.jpg"
"G.SKILL  DDR4 4G PC4-17000 CL15 AEGIS,G.SKILL,DDR4,PC용,1ea,미포함,4GB,2133MHz,1.20V,42730,http://timg.danawa.com/prod_img/500000/647/792/img/3792647_1.jpg"
"CORSAIR  DDR4 16G PC4-21300 CL16 VENGEANCE LED 레드 (8Gx2),CORSAIR,DDR4,PC용,2ea,포함,16GB,2666MHz,1.20V,210360,http://timg.danawa.com/prod_img/500000/367/470/img/4470367_1.jpg"
